"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-102.97","49.22","ESTEVAN A","4012400","1944-01","1944","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1944-02","1944","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1944-03","1944","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1944-04","1944","04","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1944-05","1944","05","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1944-06","1944","06","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1944-07","1944","07","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1944-08","1944","08","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1944-09","1944","09","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1944-10","1944","10","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1944-11","1944","11","","M","","M","","M","","M","","M","0.0","T","","M","","M","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1944-12","1944","12","-4.7","","-15.3","","-10.0","","7.2","","-28.9","","0.3","","1.0","","1.3","","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1945-01","1945","01","-6.6","","-16.9","","-11.8","","5.0","","-31.7","","0.0","T","12.4","","12.4","","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1945-02","1945","02","-4.3","","-16.9","","-10.6","","6.7","","-30.6","S","1.3","","11.4","","12.7","","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1945-03","1945","03","5.9","","-6.8","","-0.5","","21.1","","-31.1","","26.7","","6.1","","32.8","","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1945-04","1945","04","7.8","","-4.1","","1.9","","19.4","","-11.1","","2.3","","8.4","","10.7","","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1945-05","1945","05","15.8","","0.8","","8.3","","27.8","","-10.0","S","26.2","","0.0","T","26.2","","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1945-06","1945","06","20.1","","7.8","","14.0","","37.2","","1.1","","100.6","","0.0","","100.6","","","","","","",""
"-102.97","49.22","ESTEVAN A","4012400","1945-07","1945","07","27.1","","12.4","","19.8","","37.2","","6.1","","74.7","","0.0","","74.7","","","","","","",""
